URL	pageviews
http://afisha.mail	2
http://afisha.mail.ru/real-estate/aparts.ru/search	2
http://afisha.yandex.ru/дома/БСЭ/Экста-там-весь-товары_по_видание.html?1=1&cid=23956	2
http://ayzdorovi.html?1=1&cid=577&oki	2
http://orenburg/detail.ru	2
http://smeshariki.ru/images/0001216629	2
http://stalker-pub-20087898675494,960948/#page_type%3D260117152337&spn=1395,9455989.ya.ru/world.ru/search/keup.aspx#location=202686307/22/women.asp?whichpage/15051/details/?cat=5716194.htm?from]=&int[44][from]=&int[22711988&xdm_c=default.ru%2Fproduct_id	2
http://stalker-pub-20087898675494,960948/#page_type%3D260117152337&spn=1395,9455989.ya.ru/world/photo/70943f42042587,415142.html5/v12/?from]=&int[153][from]=&input_city=0&page=4&marka=0&po_yers=20073192641#/view_type%3D0%26aktion/russinsk/details/?cat_number	2
http://trailera	2
http://video.yandex.ru/luboj-92687295	2
