URL	PageViews
http://3dnews.ru/msk/events	2
http://auto_id=&auto_id=7325871.Feverobinmoscow.ru/real-estate/resp.irr.ru/baskets-facturestorezona-space.org	2
http://guid=6&pw=2&pv=0&price=690&s_yers=1916	2
http://stalker-pub-20087898675494,960948/#page_type%3D0%26pz%3D0%26rleurl%3D//ad.adriver.ru/photo=0&is_hot=0&auto_id=577&oki=1&op_prodam-1-komn-kvarti-m.ru/allprice_do=350727; .NET4.0E; MDDC; BRI%2F27.0.1453.116 Safari%2F5.0 (compfunction	2
http://stalker-pub-20087898675494,960948/#page_type%3D0%26pz%3D0%26rleurl%3D//ad.adriver.ru/photo=0&is_hot=0&auto_id=577&oki=1&op_prodam-1-komn-kvarti-m.ru/allprice_ot=&price/geo/cash#contex-Tinchiki-aa/20130709452355)) Prestore/photo.aspx	2
http://stalker-pub-20087898675494,960948/#page_type%3D260117152337&spn=1395,9459301bd969/curre2.html?1=1&currency=RUR/keywords?chart/MD095593/page=1&fuelRateTo=&fuelRatesTypeId	2
http://svpressa.ru/1.4077.259312013/07/02/18/dl/пухляш	2
http://un1.adrive_type_id=1	2
http://video.yandex.ru/realty/leaser_map=1/hasimay-2.html%26custom=0&damage=17&sr=&ti=Покрытое зелена	2
http://wildberries<{bonprix.ru/forum.materinburg	2
